,0,1,2,3,4,5,6,7
1098,O Diário de Sintra,Año: 2009,País:: Brasil,Seguinos en:,Largometraje,"
Paula Gaitán  ","
Leonardo Edde ,             Daniela Martins ",
1099,O Diário de Tati,Año: 2012,País:: Brasil,"Tati é uma adolescente típica, incapaz de aprender matemática, mas inteligentíssima na hora de criar planos para fugir dos castigos da mãe. Durante o verão, ela quer esconder que terá de fazer recuperação em matemática e ainda tem que dar conta de conquistar Zeca, o garoto mais gato da escola. Baseado no livro de Heloisa Perissé e em seu quadro de TV.",90,Comedia,"
Maurício Farias  ","
Heloísa Perissé, Marcelo Adnet, Louise Cardoso, Pedro Neschling "
1100,O exercício do caos,Año: 2013,País:: Brasil,Um homem do campo e suas três filhas vivem a desesperança e o drama de suas próprias vidas.,71,Drama,"
Frederico Machado ","
Auro Juriciê, Elza Gonçalves, Di Ramalho  "
1101,O Fim Da Picada,Año: 2009,País:: Brasil,Seguinos en:,80,Ficción,"
Christian Saghaard ","
Christian Saghaard "
1102,O grande Kilapy,Año: 2014,"País:: Angola, Brasil, Portugal","Descendente de família rica do período colonial e alto executivo do Banco Nacional Angolano, Joãozinho quer apenas curtir a vida e gastar todo o seu dinheiro com saídas, diversões e mulheres. O jovem desvia os fundos do banco e distribui dinheiro aos colegas militantes pela libertação da Angola, até que vai preso. Ao sair da prisão, ele é acolhido pela sociedade como um herói local.",Digital,Largometraje,Drama,"
Zezé Gamboa "
1103,O Grilo Feliz e os Insetos Gigantes,Año: 2009,País:: Brasil,Seguinos en:,Largometraje,"
Rafael Ribas ,             Walbercy Ribas  ","
Walbercy Ribas  ",www.ogrilofeliz.com.br
1104,O Guerreiro Didi e a Ninja Lili ,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Renato Aragão,             Marcus Figueiredo,             Guto Franco ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
1105,O homem das multidões,Año: 2014,País:: Brasil,"Juvenal é um maquinista de metrô em Belo Horizonte, Margô controla o fluxo dos trens. Ambos vivem em um estado de profunda solidão, cada um à sua maneira.",DCP,Largometraje,Drama,"
Cao Guimarães,             Marcelo Gomes "
1106,O Homem que Engarrafava Nuvens,Año: 2010,"País:: Brasil, Reino Unido",Seguinos en:,Largometraje,"
Lírio Ferreira ","
Lírio Ferreira,             Denise Dumont ","
Walter Carvalho "
1107,O Homem Que Não Dormia,Año: 2012,País:: Brasil,"Numa mesma noite, cinco pessoas de uma cidadezinha do interior são acometidas por um mesmo pesadelo envolvendo um homem sinistro e um tesouro enterrado. Com a chegada de um misterioso peregrino, o vilarejo é arrebatado da rotina medíocre e os personagens são lançados num vórtice de acontecimentos insólitos.",98,Drama,"
Edgard Navarro ","
Nélia Carvalho, Fernando Fulco, Bertho Filho "
1108,O inventor de sonhos,Año: 2013,País:: Brasil,O filme conta a história do brasileiro José Trazimundo que busca encontrar o pai europeu que não chegou a conhecer. O destino dos dois se cruza durante os 13 anos de permanência da Corte Portuguesa no Brasil.,110,Drama,"
Ricardo Nauenberg ","
Stenio Garcia, Sheron Menezes, Ícaro Silva mais "
1109,O Liberdade,Año: 2012,País:: Brasil,"O documentário musical O Liberdade conta a história de um bar muito peculiar: durante o dia funciona como restaurante popular e atende a um público de agricultores de origem alemã e à noite transforma-se no reduto da música mais genuinamente brasileira: o choro. O longa-metragem, dirigido por Cíntia Langie e Rafael Andreazza, foi realizado pela produtora Moviola Filmes em 2011, na cidade de Pelotas, no sul do Brasil.",71,Documental,"
Cíntia Langie ",http://www.moviolafilmes.com/p/o-liberdade.html
1110,O lobo atrás da porta,Año: 2014,País:: Brasil,"Uma criança é raptada. Na delegacia, Sylvia e Bernardo, pais da vítima, e Rosa, a principal suspeita e amante de Bernardo, prestam depoimentos contraditórios que levarão aos recantos mais obscuros dos desejos, mentiras, carências e perversidades do relacionamento desses três personagens.",97,Drama,"
Fernando Coimbra ","
Leandra Leal, Milhem Cortaz, Fabiula Nascimento "
1111,O Manuscrito Perdido,Año: 2012,"País:: Brasil, Portugal","O filme mostra a procura do manuscrito perdido de Fradique Mendes, poeta e aventureiro português do século XIX, e aproveita também a ocasião para fazer uma reflexão sobre a colonização portuguesa no Brasil, as origens da sociedade brasileira e sobre algumas questões sociais contemporâneas, como a luta pela terra.",81,Documental,"
José Barahona ",https://www.youtube.com/watch?v=9n38L01cxf4&list=PLIKQsCLXYeIM7qehFyKWg6eRzyyMvaqvA
1112,O Menino da Porteira,Año: 2009,País:: Brasil,Seguinos en:,Largometraje,"
Jeremias Moreira  ","
Jeremias Moreira ,             Carlos Nascimbeni ,             Beto Moraes ",www.omeninodaporteira.com.br
1113,O menino e o mundo,Año: 2014,País:: Brasil,"Sofrendo com a falta do pai, um menino deixa sua aldeia e descobre um mundo fantástico dominado por máquinas-bichos e estranhos seres. Uma inusitada animação, que retrata as questões do mundo moderno pelo olhar de uma criança.",Digital,Largometraje,Animación,"
Alê Abreu  "
1114,O menino no espelho,Año: 2014,País:: Brasil,"Fernando é um jovem que deseja ter um clone para realizar todas as tarefas chatas em seu lugar, como ir à escola; até que um dia, o reflexo do jovem deixa o espelho e ganha vida.",35mm,Largometraje,Acción - Aventuras - Ciencia Ficción,"
Guilherme Fiúza "
1115,O mercado de notícias,Año: 2014,País:: Brasil,"Treze depoimentos de importantes jornalistas brasileiros sobre o sentido e a prática de sua profissão, as mudanças na maneira de consumir notícias, o futuro do jornalismo, e também sobre casos recentes da política brasileira, onde a cobertura da imprensa teve papel de grande destaque.",HD,Largometraje,Documental,"
Jorge Furtado "
1116,O Milagre de Santa Luzia,Año: 2009,País:: Brasil,Seguinos en:,Largometraje,"
Sérgio Roizenblit ","
Sérgio Roizenblit ",www.omilagredesantaluzia.com.br
1117,O Mistério da Estrada de Sintra,Año: 2008,"País:: Brasil, Portugal",Seguinos en:,130,www.moonshot.com.br/2009/estradaSintra.htm,,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
1118,O Mistério do Samba ,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Carolina Jabor ,             Lula Buarque de Hollanda  ","
Carolina Jabor ,             Leonardo Netto,             Lula Buarque de Hollanda ,             Marisa Monte ,             Natara Ney ",
1119,O País do Desejo,Año: 2013,"País:: Brasil, Portugal","Roberta é uma pianista clássica de renome que luta contra uma doença crônica nos rins. Em um encontro inesperado que muda sua vida, Roberta conhece Padre José. Família, amor, medicina e religião se misturam num drama contemporâneo.",35mm,Largometraje,Drama,"
Paulo Caldas  "
1120,O que se move,Año: 0000,País:: Brasil,"Três núcleos familiares precisam lidar com a perda – ou o reencontro – de um filho. Um olhar sobre os afetos que movem essas famílias. Três mães que cantam o amor por seus filhos em momentos difíceis. Pequenos gestos e ações em torno desses acontecimentos dolorosos, em meio à experiência simples e inexplicável da vida cotidiana.",Drama,"
 Cida Moreira, Andréa Marquee, Fernanda Vianna ",https://www.youtube.com/watch?v=r6SyVS_q_zM,
1121,O renascimento do parto,Año: 2013,País:: Brasil,"O filme retrata a grave realidade obstétrica mundial e sobretudo brasileira, que se caracteriza por um número alarmante de cesarianas ou de partos com intervenções traumáticas e desnecessárias, em contraponto com o que é sabido e recomendado hoje pela ciência. Tal situação apresenta sérias conseqüências perinatais, psicológicas, sociais, antropológicas e financeiras.",90,Documental,"
Eduardo Chauvet ",www.youtube.com/watch?v=1zB-5ASFqm0
1122,O Retorno ,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Rodolfo Nanni  ","
Rodolfo Nanni  ",www.rodolfonanni.com.br
1123,O Romance do Vaqueiro Voador,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Manfredo Caldas ","
Manfredo Caldas,             Sérgio Moriconi ",www.vaqueirovoador.com.br
1124,O Sal da Terra,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Eloi Pires Ferreira ","
Altenir Silva,             J. Olímpio,             Eloi Pires Ferreira ",www.osaldaterra.com.br
1125,O segredo dos diamantes,Año: 2014,País:: Brasil,"Angelo é um garoto de 14 anos que descobre uma antiga lenda sobre diamantes perdidos e parte em busca desse tesouro para salvar a vida do pai. Para isso, ele e seus amigos Júlia e Carlinhos terão que decifrar o enigma e vencer a perseguição do vilão Silvério, que também sabe do tesouro e não vai desistir até encontrá-lo.",HD,Largometraje,Acción - Aventuras - Ciencia Ficción,"
Helvécio Ratton  "
1126,O senhor do labirinto,Año: 2014,País:: Brasil,"A vida do artista Arthur Bispo do Rosário, adaptada do livro “Arthur Bispo do Rosario – O senhor do labirinto”, de Luciana Hidalgo.",80,Drama,"
Geraldo Motta,             Gisella de Mello ","
Flavio Bauraqui, Maria Flor, Irandhir Santos "
1127,O Signo da Cidade,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Carlos Alberto Riccelli  ","
Bruna Lombardi ",www.osignodacidade.com.br
1128,O som ao redor,Año: 2013,País:: Brasil,"Com a chegada da milícia, rua de classe-média na zona sul do Recife sofre transformações.",131,Drama,"
Kleber Mendonça Filho ","
Irandhir Santos, Gustavo Jahn, Maeve Jinkings, WJ Solha, Irma Brown, Lula Terra, Albert Tenorio, Nivaldo Nascimento, Yuri Holanda, Clebia Souza "
1129,O Tempo e o Lugar,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Eduardo Escorel  ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
1130,O Tempo e o Vento,Año: 2013,País:: Brasil,"Em meio ao cerco do casarão de sua família pelos Amarais, a já centenária Bibiana Terra Cambará relembra cento e cinquenta anos de história, desde a trajetória de sua avó Ana Terra até o final do século XIX. Bibiana narra sua paixão por Capitão Rodrigo, num romance que atravessa o tempo e prova que o amor é capaz de resistir às guerras. Baseado na obra do escritor Erico Verissimo.",HD,Largometraje,Drama,"
Jayme Monjardim "
1131,Observando al observador,Año: 2013,País:: Argentina,"Ciudadanas estadounidenses secuestradas durante la ultima dictadura militar. Ambasfueron liberadas. Treinta años mas tarde, una joven se encuentra con ellas y hacen unrecorrido por la ciudad que marco su pasado. Recordando y reconstruyendo varios puntosdel golpe militar, reflexionando sobre el rol de Estados Unidos. Estas mujeres, sus cuerposy testimonios son prueba de cómo las teorías políticas y económicas norteamericanasinciden en nuestra realidad Argentina y Latinoamericana.",DCP,Largometraje,Documental,"
Malena Juanatey "
1132,Odeio o dia dos namorados,Año: 2013,País:: Brasil,"Débora, uma publicitária durona, precisa criar uma campanha romântica de Dia dos Namorados. Seria fácil, se ela não fosse a pessoa menos sentimental do mundo e se o cliente não fosse Heitor, ex-namorado que ela dispensou de forma humilhante. Em meio a esse desafio, Débora recebe a inesperada visita do fantasma de seu amigo Gilberto, que tem a dura missão de amolecer seu coração de pedra, obrigando-a a rever sua vida e descobrir o que as pessoas pensam dela de verdade.",35mm,Largometraje,Comedia Romántica,"
Roberto Santucci "
1133,Ojos bien abiertos: un viaje por la sudamérica de hoy ,Año: 2009,"País:: Argentina, Ecuador, Francia, Uruguay","¿Qué estará pasando en esta Sudamérica de principios de siglo? El momento socio-político es único. Ahora bien, ¿cómo retratarlo?Hace tres años Gonzalo Arijón tomó su cámara y el libro Las venasabiertas de América Latina, de Eduardo Galeano (el mismo libro que Chávez le regaló a Obama) y emprendió un viaje. Con el fin de conocer mejor a esos hombres y mujeres, que desde sus combates cotidianos forjaron este singular momento histórico, recorrió Brasil,Bolivia, Venezuela, Ecuador y Uruguay. Un viaje que se propone ser tan político como poético.",HD,Largometraje,Documental,"
Gonzalo Arijón "
1134,Olhe pra mim de novo,Año: 2013,País:: Brasil,"Road-movie pelo sertão brasileiro na companhia do transexual Syllvio Luccio. Novas organizações familiares, questões de gênero e discussões genéticas em uma viagem inusitada.",77,Documental,"
Claudia Priscilla ,             Kiko Goifman  ",https://olhepramimdenovo.wordpress.com/
1135,Olho de Boi,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Hermano Penna  ","
Marcos Cesana ",
1136,Olho nu,Año: 2014,País:: Brasil,Filme-ensaio sobre a vida do cantor Ney Matogrosso.,101,Documental,"
Joel Pizzini  ",www.youtube.com/watch?v=QNU9Wixu8E0
1137,Olhos Azuis ,Año: 2010,País:: Brasil,Seguinos en:,Largometraje,"
José Joffily  ","
Paulo Halm,             Melanie Dimantas ","
Nonato Estrela "
1138,Olvidame,Año: 2011,País:: Argentina,"Víctor Terx se gana la vida ejerciendo la prostitución, acostándose con las mujeres que se le acercan. Ambar Atlas es una joven streaper en el prostibulario club nocturno Urutaú. Su sexualidad exultante y perturbadora puede percibirse a flor de piel. Ambar desea su propia muerte y la busca. Agresiva, salvaje e insaciable, utiliza el sexo como vehículo de su propia destrucción. Ambos emprenderán un oscuro y tortuoso viaje con el objeto de encontrar la milagrosa “curación” de Ambar. Se enamorarán de forma apasionada, atrayéndose y repeliéndose violentamente al tomar conciencia de la proximidad del peligro que los acecha.",35mm,Largometraje,Drama,"
Aldo Paparella  "
1139,Olympia,Año: 2012,País:: Argentina,"Olympia narra la vida de una actriz porno de 18 años, que luego de protagonizar un par de vídeos amateur, ingresa a la industria mainstream en su primer gran título, que incluye una escena con 16 hombres. Diferentes personajes del mundo del porno, el rock y la moda acompañaran a la chica de 18 años hasta convertirse en una estrella de la cultura pop.",82,Comedia Dramática,,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
1140,Onde a coruja dorme,Año: 2012,País:: Brasil,"Poucos sabem o segredo do sucesso de Bezerra da Silva: sua equipe de compositores, composta por pedreiros, trocadores de ônibus, carteiros, técnicos de refrigeração e biscateiros em geral. Sambistas genuínos escolhidos a dedo por Bezerra. Trabalhadores anônimos que cantam como ninguém o universo da malandragem carioca.",72,Documental,"
Marcia Derraik,             Simplicio Neto ",https://vimeo.com/51551018
1141,Onde Andará Dulce Veiga?,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Guilherme de Almeida Prado ","
Guilherme de Almeida Prado ",
1142,Only When I Dance,Año: 2009,"País:: Brasil, Reino Unido",Seguinos en:,Documental,,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
",
1143,Operários da bola,Año: 2014,País:: Brasil,"Durante a construção da Arena de Brasília, para a Copa do Mundo de 2014, operários da obra, vindos de diversos estados do Brasil e que participaram da Copa Solidária dos Operários da Bola, durante a construção do estádio em 2012, relatam as suas batalhas pessoais e a paixão pelo futebol.",Largometraje,"
Virna Smith ",www.youtube.com/watch?v=_oj3uQSMbNg,http://www.operariosdabolaofilme.com.br/
1144,Orillas,Año: 2011,País:: Argentina,"En Argentina, Shantas es un joven marginal que vive en una zona carenciada y teñida por lasprácticas de las divinidades de los Orishás (Umbanda), que son las raíces de sus antepasadosprocedentes de la esclavitud en Argentina. El joven se cree invencible. A raíz de su útlimocombate, su vida violenta encontrará el camino del “renacimiento” a sus raíces más profundas enel continente africano. Entre cuento fantástico y fábula moderna, el film plantea una interiorizaciónen la historia negada de los africanos en Argentina.",96,Drama,"
Pablo César ",
1145,Orquesta Roja,Año: 2010,País:: Argentina,"Los protagonistas de una falsa noticia sobre la aparición de un grupo guerrillero que diera la vueltaal mundo en abril de 2000 en Argentina, se prestan, 8 años después, a filmar una película quereflexiona sobre el rol de los medios de comunicación en nuestra sociedad.",77,Documental,"
Nicolás Herzog ",
1146,Orquestra dos Meninos ,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Paulo Thiago  ","
Melanie Dimantas,             Graciela Maglie,             Paulo Thiago  ",
1147,Os Amigos,Año: 2014,País:: Brasil,"Um dia especial na vida de Théo. Pela manhã, ele vai ao funeral de seu melhor amigo de infância. Durante o dia, as lembranças vêm, levando Théo a olhar a vida de uma outra maneira. É Majú, uma amiga por quem tem grande afeição, que o ajudará a recuperar as esperanças.",35mm,Largometraje,Ficción,"
Lina Chamie "
1148,Os caras de pau,Año: 2014,País:: Brasil,"Pedrão e Jorginho são dois seguranças encarregados de proteger o anel mais valioso do mundo. Quando a joia é roubada, eles são acusados do crime e têm de lutar para provar sua inocência.",90,Comedia,"
Felipe Joffily ","
Marcius Melhem e Leandro Hassum, com Christine Fernandes, Marcio Vito, Adriano Garib, André Mattos, Augusto Madeira, Eber Inácio, Antônio Fragoso, Alexandre Regis, Marcello Caridade, Ricardo Pereira  "
1149,Os Desafinados,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Walter Lima Jr.  ","
Walter Lima Jr. ,             Suzana Macedo ,             Elena Soarez ",
1150,Os dias com ele,Año: 2014,País:: Brasil,"Uma jovem cineasta mergulha no passado quase desconhecido de seu pai. Ele, um intelectual brasileiro, preso e torturado durante a ditadura militar, não fala sobre isso desde aquele tempo. Ela, uma filha em busca de sua identidade.",105,Documental,"
Maria Clara Escobar ", https://vimeo.com/62994220
1151,Os Famosos e os Duendes da Morte,Año: 2010,"País:: Brasil, Francia",Seguinos en:,95,Drama,"
Esmir Filho ","
Esmir Filho,             Ismael Caneppele "
1152,Os homens são de Marte... E é pra lá que eu vou,Año: 2014,País:: Brasil,"Fernanda, exemplo da mulher do terceiro milênio, é livre em suas escolhas, independente e com dificuldade de encontrar um amor - a cada tentativa, acredita ter encontrado o homem da sua vida. Ela se joga nas relações sem medo, vive intensamente cada encontro e é muito otimista: sempre acha que vai dar certo.",108,Comedia,"
Marcus Baldini ","
Mônica Martelli Paulo Gustavo Daniele Valente Eduardo Moscovis Herson Capri Marcos Palmeira Humberto Martins Julia Rabelo "
1153,Os Inquilinos,Año: 2010,País:: Brasil,Seguinos en:,103,Drama,"
Sérgio Bianchi  ","
Sérgio Bianchi ,             Beatriz Bracher  "
1154,Os Normais 2 - A Noite Mais Maluca de Todas ,Año: 2009,País:: Brasil,Seguinos en:,Largometraje,"
José Alvarenga Júnior  ","
Alexandre Machado ,             Fernanda Young ",
1155,Oscuro/Iluminado ,Año: 2008,País:: Chile,  Felipe Braun   Sol Aravena   Sergio Hernández   Francisco Ruiz de Viñaspe   Luna Martínez ,77,"
Miguel Ángel Vidaurre ","
Miguel Ángel Vidaurre ","
  Felipe Braun   Sol Aravena   Sergio Hernández   Francisco Ruiz de Viñaspe   Luna Martínez  "
1156,Otávio e as Letras,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Marcelo Masagão ","
Andrea Menezes ,             Marcelo Masagão ",
1157,Otro corazón,Año: 2012,País:: Argentina,"Leo y María esperan su primer hijo y están a punto de mudarse. Leo, al enterarse que su padrenecesita urgente un transplante de corazón, lo lleva a vivir a su casa y se hace cargo de la financierafamiliar. Desesperado, busca otras formas de conseguir el corazón. La obsesión por salvar al padrelo aleja de su paternidad. Claudio, el otro hijo, médico obstetra, que considera a su padre aún capazde actuar, lo impulsa a realizar uno de los actos más importantes de su vida. Una espera en la queconviven la vida y la muerte, el duelo por lo que no fue, y la esperanza de lo que aún es posible.",90,Drama,"
Tomás Sanchez ",www.otrocorazon.com.ar
1158,Ouro Negro,Año: 2009,País:: Brasil,Seguinos en:,Largometraje,"
Isa Albuquerque  ","
Isa Albuquerque ,             Duba Elia,             Diana Nogueira ,             Ana Lúcia Andrade ",
1159,Out Gorda,Año: 2008,País:: Paraguay,Seguinos en:,Cortometraje,"
Juan Carlos Maneglia  ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
1160,Óxido,Año: 2008,País:: Argentina,"Metáfora de cosas perdidas. Homenaje sinfónico a la camaradería y la solidaridad, interpretado por trabajadores de una grúa de salvamento en Argentina.",48,Documental,"
Rubén Guzmán ",
1161,Pachamama,Año: 2010,País:: Brasil,Seguinos en:,Largometraje,"
Eryk Rocha ","
Eryk Rocha ","
Eryk Rocha "
1162,Paco,Año: 2009,País:: Argentina,"Paco (Francisco Blank) es Físico cuántico. Se encuentra en una cárcel temporaria, fue encontradopor la policía en estado de sobredosis de “paco”, la última y más letal de las drogas, desechode la cocción de cocaína en las cocinas urbanas. Está acusado de volar una de esas cocinas conexplosivos de alto calibre, matando a los responsables, pero también a inocentes. Su madre, unaimportante Senadora del Congreso de la Nación Argentina de ascendente carrera política, se veenvuelta en un instante en una insondable pesadilla. Su único hijo es acusado de terrorista y losmedios lo implican en una guerra de narcotráfico.",127,Acción - Policial,"
Diego Rafecas ","
Paco (Francisco Blank) es Físico cuántico. Se encuentra en una cárcel temporaria, fue encontradopor la policía en estado de sobredosis de “paco”, la última y más letal de las drogas, desechode la cocción de cocaína en las cocinas urbanas. Está acusado de volar una de esas cocinas conexplosivos de alto calibre, matando a los responsables, pero también a inocentes. Su madre, unaimportante Senadora del Congreso de la Nación Argentina de ascendente carrera política, se veenvuelta en un instante en una insondable pesadilla. Su único hijo es acusado de terrorista y losmedios lo implican en una guerra de narcotráfico. "
1163,Paisajes devorados,Año: 2012,País:: Argentina,"La película es un ""falso documental"" que muestra la investigación que llevan a cabo tres jóvenes estudiantes de cine sobre un supuesto veterano director de cine, alojado en un hospital neuropsiquiátrico.",75,Documental,"
Eliseo Subiela ",
1164,Paisito,Año: 2007,"País:: Argentina, España, Uruguay","Xavi, un futbolista, es contratado por el club Osasuna de Pamplona. Allí se reencuentra con Rosana, una uruguaya exiliada a quien había conocido veinte años antes en Montevideo cuando eran niños. El padre de ella era el jede de Policía de Montevideo, y el padre de él un zapatero navarro de raíces republicanas, emigrado a Uruguay en la segunda posguerra. Sin saber que el destino los separaría, los niños se juraron amor eterno. Ahora el reencuentro despliega interrogantes, revelaciones y ensaya respuestas.",90,Ficción,"
Ana Díez ","
Mauricio Dayub, Emilio Gutiérrez Caba, Viviana Saccone, María Botto, Nicolás Pauls, Andrea Davidovics, Ricardo Fernández Blanco "
1165,Paixão e acaso,Año: 2013,País:: Brasil,"A psicanalista Inês apaixona-se por dois homens ao mesmo tempo, sem saber que são pai e filho. Entre aparições de seu próprio pai, Vitor, como fantasma, Inês precisa lidar com seus próprios problemas e os de seus pacientes.",92,Comedia,"
Domingos Oliveira ","
Vanessa Gerbelli, Aderbal Freire Filho, Pedro Furtado "
1166,Paixão e acaso,Año: 2013,País:: Brasil,"A psicanalista Inês apaixona-se por dois homens ao mesmo tempo, sem saber que são pai e filho. Entre aparições de seu próprio pai, Vitor, como fantasma, Inês precisa lidar com seus próprios problemas e os de seus pacientes.",92,Comedia,"
Domingos Oliveira ","
Vanessa Gerbelli, Aderbal Freire Filho, Pedro Furtado "
1167,Pájaros Muertos,Año: 2008,País:: Argentina,"Eduardo Blanco, Alberto Jiménez, Silvia Marsó,Claudia Fontán, Samuel Viyuela",90,Ficción,"
Guillermo Sempere ,             Jorge Sempere ","
Gisela Benenzon,             Gorka Esteban "
1168,Pájaros volando,Año: 2010,País:: Argentina,"“Pájaros Volando” es una comedia que se desarrolla en un pueblito serrano y combina humordisparatado, y una comunidad hippie y rockera que será visitada y abducida por extraterrestres enplatos voladores.",120,Comedia,"
Néstor Montalbano ",www.pajarosvolando.com.ar
1169,Palavra (en)cantada ,Año: 2009,País:: Brasil,Seguinos en:,Largometraje,"
Helena Solberg ","
Diana Vasconcellos,             Helena Solberg,             Marcio Debellian ",www.palavraencantada.com.br
1170,Pallca,Año: 2013,País:: Argentina,"Celina, una niña de 11 años perteneciente a una comunidad indígena kolla, quiere sermaestra y usar los tradicionales zarcillos de la puna. Mediante esta sencilla trama, Pallcase propone mostrar los contrastes entre una antigua forma de ver el mundo y la actualvida de las grandes ciudades latinoamericanas inmersas en la globalización. De cómosubsisten ancestrales ritos mezclados con la falta de oportunidades para crecer comoseres humanos. Y de cómo transcurre la vida cotidiana en los andes.",DCP,Largometraje,Ficción,"
Alejandro Arroz "
1171,"Paloma Herrera, Aquí y Ahora",Año: 2008,País:: Argentina,"Paloma Herrera, Guillaume Coté, Ernesto Chacón Oribe, Olga Ferri,Irina Kolpakova, Héctor Zaraspe, Mauricio Wainrot, Kevin Mc Kenzie",75,Documental,"
Julio Panno ","
Paloma Herrera, Guillaume Coté, Ernesto Chacón Oribe, Olga Ferri,Irina Kolpakova, Héctor Zaraspe, Mauricio Wainrot, Kevin Mc Kenzie "
1172,Pan-Cinema Permanente,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Carlos Nader ","
Carlos Nader ",
1173,Panair do Brasil,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Marco Altberg  ","
Marco Altberg  ",
1174,Papá O 36 Mil Juicios De Un Mismo Suceso ,Año: 2008,País:: Chile,   Willy Semler   Mariela Mignot   Macarena Losada   Cristóbal Pizarro   Carola Cárcamo   Trinidad Infante   Francisco Ruiz de Viñaspe   Luis Lizama  ,100,"
Leo Medel  ","
Leo Medel  ","
   Willy Semler   Mariela Mignot   Macarena Losada   Cristóbal Pizarro   Carola Cárcamo   Trinidad Infante   Francisco Ruiz de Viñaspe   Luis Lizama   "
1175,Papirosen,Año: 2011,País:: Argentina,"Transformando cerca de 200 horas de material filmado durante más de una década en un retrato defamilia a la vez épico e íntimo, el joven cineasta argentino Solnicki eleva el home movie al nivel deun arte. Cuatro generaciones de su clan de Buenos Aires son capturadas en vacaciones y reunionesfamiliares, así como en pequeños momentos cotidianos. Hurgando en los archivos familiares (8 mmde época, una grabación en vídeo de un bar mitzvah) y la incorporación de las reflexiones de suabuela, Pola, sobreviviente del Holocausto, Solnicki pergeña una afectiva y profunda meditaciónsobre el significado de la familia y el peso de la historia.",Largometraje,"
Gastón Solnicki ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
1176,Para los pobres piedras,Año: 2011,País:: Argentina,"Don Ernaldo (vasco), sus hijos y sus hermanos emprenden su viaje a la veraneada como cada año.Escapándose de la sequía en la meseta patagónica, llevan sus mil chivas a pastear arriba, en laCordillera, por 3 meses. Cecilia (mapuche), la esposa de Ernaldo, se queda abajo, en la comunidadPaineo, de donde salen. Pero los acompaña todo el viaje y la estadía de una manera especial: consus cantos sagrados. Este año pasará algo trágico que hará volver a los crianceros antes de tiempo,con la noticia de que éste viaje no será nunca mas el de siempre.",71,Documental,"
Mathieu Orcel ",
1177,Para Qué Quiero Pies Si Tengo Alas,Año: 2008,País:: ,"León Gieco, Pancho Chévez, Carna Spina, Alejandra Davio, Casa De Tango Danza Ama,Beto, Rosita, Antonela Costa, Carlos Sosa, Carlos Melo",Documental,,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
",
